timestamp,date_time,is_ppg,green,red,infra_red
1708445603174,1708445603174,1,417701,53588,67104
1708445603175,1708445603175,1,417783,53592,67107
1708445603198,1708445603198,1,417969,53596,67116
1708445603199,1708445603199,1,418005,53595,67104
1708445603220,1708445603220,1,417715,53585,67073
1708445603242,1708445603242,1,417319,53588,67070
1708445603309,1708445603309,1,417140,53584,67066
1708445603310,1708445603310,1,417032,53579,67058
1708445603312,1708445603312,1,417054,53580,67057
1708445603331,1708445603331,1,417142,53573,67051
1708445603352,1708445603352,1,417316,53567,67051
1708445604186,1708445604186,1,417387,53571,67056
1708445604215,1708445604215,1,417150,53547,67014
1708445604233,1708445604233,1,416663,53539,66996
1708445604252,1708445604252,1,416441,53536,66989
1708445604280,1708445604280,1,416318,53538,66980
1708445604300,1708445604300,1,416408,53541,66985
1708445604365,1708445604365,1,416538,53540,66988
1708445604366,1708445604366,1,416617,53541,66986
1708445604386,1708445604386,1,417008,53537,66981
1708445605192,1708445605192,1,416750,53526,66952
1708445605193,1708445605193,1,416446,53520,66940
1708445605214,1708445605214,1,416348,53521,66934
1708445605237,1708445605237,1,416183,53513,66923
1708445605259,1708445605259,1,416095,53515,66921
1708445605280,1708445605280,1,416174,53512,66924
1708445605299,1708445605299,1,416341,53508,66916
1708445605320,1708445605320,1,416557,53509,66915
1708445605341,1708445605341,1,416910,53514,66928
1708445605371,1708445605371,1,416723,53512,66894
1708445606204,1708445606204,1,416646,53508,66887
1708445606222,1708445606222,1,416534,53512,66888
1708445606241,1708445606241,1,416578,53521,66893
1708445606242,1708445606242,1,416581,53521,66893
1708445606264,1708445606264,1,416721,53528,66901
1708445606334,1708445606334,1,416993,53538,66915
1708445606335,1708445606335,1,417764,53551,66929
1708445606367,1708445606367,1,418015,53543,66913
1708445606368,1708445606368,1,417853,53537,66899
1708445606389,1708445606389,1,417795,53540,66892
1708445607209,1708445607209,1,417762,53536,66898
1708445607210,1708445607210,1,417753,53535,66897
1708445607232,1708445607232,1,417751,53531,66891
1708445607255,1708445607255,1,417791,53524,66885
1708445607278,1708445607278,1,417937,53522,66880
1708445607299,1708445607299,1,418144,53514,66882
1708445607321,1708445607321,1,418432,53515,66879
1708445607344,1708445607344,1,418645,53505,66858
1708445607362,1708445607362,1,418330,53488,66828
1708445607387,1708445607387,1,418164,53484,66820
1708445608221,1708445608221,1,418134,53480,66817
1708445608244,1708445608244,1,418103,53476,66814
1708445608259,1708445608259,1,418163,53468,66809
1708445608282,1708445608282,1,418315,53464,66817
1708445608305,1708445608305,1,418553,53460,66818
1708445608327,1708445608327,1,418857,53462,66823
1708445608350,1708445608350,1,418623,53448,66778
1708445608372,1708445608372,1,418335,53439,66774
1708445608394,1708445608394,1,418186,53439,66767
1708445609226,1708445609226,1,418137,53438,66766
1708445609227,1708445609227,1,418154,53437,66771
1708445609249,1708445609249,1,418191,53437,66772
1708445609272,1708445609272,1,418335,53429,66764
1708445609294,1708445609294,1,418530,53431,66776
1708445609322,1708445609322,1,418792,53436,66780
1708445609341,1708445609341,1,418715,53421,66748
1708445609367,1708445609367,1,418344,53423,66745
1708445609385,1708445609385,1,418226,53439,66761
1708445609404,1708445609404,1,418205,53457,66781
1708445610232,1708445610232,1,418228,53460,66787
1708445610255,1708445610255,1,418380,53472,66802
1708445610277,1708445610277,1,418629,53491,66823
1708445610300,1708445610300,1,418952,53502,66843
1708445610322,1708445610322,1,419342,53517,66867
1708445610346,1708445610346,1,419222,53512,66839
1708445610366,1708445610366,1,419048,53519,66845
1708445610367,1708445610367,1,419058,53520,66844
1708445610389,1708445610389,1,419048,53523,66849
1708445610407,1708445610407,1,419073,53526,66853
1708445611245,1708445611245,1,419106,53526,66854
1708445611267,1708445611267,1,419287,53517,66850
1708445611289,1708445611289,1,419532,53517,66854
1708445611311,1708445611311,1,419832,53520,66863
1708445611312,1708445611312,1,419880,53512,66848
1708445611334,1708445611334,1,419677,53502,66825
1708445611370,1708445611370,1,419461,53501,66824
1708445611371,1708445611371,1,419453,53496,66825
1708445611384,1708445611384,1,419433,53494,66819
1708445611402,1708445611402,1,419463,53493,66812
1708445611416,1708445611416,1,419604,53485,66818
1708445612339,1708445612339,1,419670,53483,66812
1708445612369,1708445612369,1,419875,53483,66816
1708445612386,1708445612386,1,420150,53482,66821
1708445612446,1708445612446,1,419986,53462,66786
1708445612447,1708445612447,1,419500,53463,66771
1708445612467,1708445612467,1,419414,53459,66768
1708445612489,1708445612489,1,419448,53457,66771
1708445612512,1708445612512,1,419552,53455,66769
1708445613269,1708445613269,1,419669,53450,66770
1708445613284,1708445613284,1,419878,53456,66775
1708445613307,1708445613307,1,419771,53441,66744
1708445613330,1708445613330,1,419281,53435,66727
1708445613352,1708445613352,1,419000,53433,66723
1708445613375,1708445613375,1,418787,53431,66716
1708445613396,1708445613396,1,418713,53425,66715
1708445613397,1708445613397,1,418733,53430,66717
1708445613419,1708445613419,1,418786,53434,66722
1708445613441,1708445613441,1,418932,53451,66742
1708445614274,1708445614274,1,419027,53455,66749
1708445614297,1708445614297,1,419291,53475,66770
1708445614319,1708445614319,1,418910,53473,66743
1708445614342,1708445614342,1,418596,53486,66748
1708445614370,1708445614370,1,418423,53496,66762
1708445614385,1708445614385,1,418364,53506,66770
1708445614405,1708445614405,1,418435,53514,66777
1708445614425,1708445614425,1,418579,53509,66782
1708445614447,1708445614447,1,418760,53507,66783
1708445615286,1708445615286,1,418844,53511,66785
1708445615309,1708445615309,1,418807,53494,66753
1708445615324,1708445615324,1,418384,53490,66742
1708445615347,1708445615347,1,418188,53489,66737
1708445615376,1708445615376,1,418062,53482,66732
1708445615392,1708445615392,1,418100,53476,66731
1708445615415,1708445615415,1,418207,53468,66731
1708445615438,1708445615438,1,418407,53467,66727
1708445615458,1708445615458,1,418645,53470,66731
1708445616292,1708445616292,1,418513,53452,66697
1708445616315,1708445616315,1,418120,53449,66689
1708445616337,1708445616337,1,417921,53447,66681
1708445616360,1708445616360,1,417815,53446,66684
1708445616378,1708445616378,1,417860,53441,66683
1708445616397,1708445616397,1,417991,53441,66690
1708445616419,1708445616419,1,418215,53446,66697
1708445616442,1708445616442,1,418515,53449,66705
