timestamp,date_time,is_ppg,green,red,infra_red
1708516806747,1708516806747,1,186017,58483,72528
1708516806787,1708516806787,1,186193,58487,72534
1708516806827,1708516806827,1,186147,58464,72490
1708516806867,1708516806867,1,185773,58438,72422
1708516806907,1708516806907,1,185349,58420,72374
1708516806947,1708516806947,1,185085,58406,72351
1708516806987,1708516806987,1,184933,58404,72351
1708516807027,1708516807027,1,184902,58412,72368
1708516807067,1708516807067,1,184950,58418,72378
1708516807107,1708516807107,1,184971,58418,72379
1708516807147,1708516807147,1,184963,58413,72378
1708516807187,1708516807187,1,184981,58412,72381
1708516807227,1708516807227,1,185044,58420,72392
1708516807267,1708516807267,1,185153,58423,72407
1708516807307,1708516807307,1,185285,58419,72427
1708516807347,1708516807347,1,185436,58433,72445
1708516807387,1708516807387,1,185600,58439,72460
1708516807427,1708516807427,1,185766,58446,72483
1708516807467,1708516807467,1,185923,58452,72515
1708516807507,1708516807507,1,186098,58465,72537
1708516807547,1708516807547,1,186284,58474,72562
1708516807587,1708516807587,1,186478,58478,72587
1708516807627,1708516807627,1,186588,58471,72566
1708516807667,1708516807667,1,186387,58439,72487
1708516807707,1708516807707,1,185963,58409,72418
1708516807747,1708516807747,1,185602,58406,72401
1708516807787,1708516807787,1,185383,58405,72400
1708516807827,1708516807827,1,185307,58411,72413
1708516807867,1708516807867,1,185324,58418,72434
1708516807907,1708516807907,1,185357,58417,72435
1708516807947,1708516807947,1,185360,58419,72439
1708516807997,1708516807997,1,185345,58412,72436
1708516808035,1708516808035,1,185372,58409,72440
1708516808073,1708516808073,1,185456,58419,72460
1708516808111,1708516808111,1,185558,58425,72477
1708516808149,1708516808149,1,185683,58426,72489
1708516808187,1708516808187,1,185826,58435,72511
1708516808225,1708516808225,1,185972,58445,72534
1708516808263,1708516808263,1,186125,58449,72545
1708516808301,1708516808301,1,186279,58455,72565
1708516808339,1708516808339,1,186460,58461,72585
1708516808377,1708516808377,1,186636,58466,72610
1708516808415,1708516808415,1,186735,58460,72591
1708516808453,1708516808453,1,186528,58432,72522
1708516808491,1708516808491,1,186085,58412,72471
1708516808529,1708516808529,1,185700,58406,72441
1708516808567,1708516808567,1,185458,58405,72440
1708516808605,1708516808605,1,185350,58402,72446
1708516808643,1708516808643,1,185360,58409,72460
1708516808681,1708516808681,1,185391,58403,72456
1708516808719,1708516808719,1,185402,58406,72456
1708516808757,1708516808757,1,185409,58407,72461
1708516808795,1708516808795,1,185427,58406,72456
1708516808833,1708516808833,1,185509,58405,72468
1708516808871,1708516808871,1,185620,58413,72486
1708516808909,1708516808909,1,185765,58417,72512
1708516808947,1708516808947,1,185911,58428,72532
1708516808987,1708516808987,1,186081,58440,72555
1708516809027,1708516809027,1,186256,58444,72570
1708516809067,1708516809067,1,186431,58450,72597
1708516809107,1708516809107,1,186601,58460,72625
1708516809147,1708516809147,1,186793,58468,72645
1708516809187,1708516809187,1,186990,58471,72664
1708516809227,1708516809227,1,187177,58480,72675
1708516809267,1708516809267,1,187122,58458,72618
1708516809307,1708516809307,1,186744,58428,72548
1708516809347,1708516809347,1,186319,58415,72518
1708516809387,1708516809387,1,186057,58419,72512
1708516809427,1708516809427,1,185927,58415,72512
1708516809467,1708516809467,1,185889,58414,72517
1708516809507,1708516809507,1,185920,58415,72524
1708516809547,1708516809547,1,185923,58410,72524
1708516809587,1708516809587,1,185909,58409,72515
1708516809627,1708516809627,1,185915,58407,72521
1708516809667,1708516809667,1,185949,58412,72530
1708516809707,1708516809707,1,186032,58417,72547
1708516809747,1708516809747,1,186153,58425,72574
1708516809787,1708516809787,1,186286,58434,72594
1708516809827,1708516809827,1,186424,58442,72613
1708516809867,1708516809867,1,186579,58446,72631
1708516809907,1708516809907,1,186719,58451,72644
1708516809947,1708516809947,1,186874,58457,72656
1708516809987,1708516809987,1,187039,58456,72679
1708516810027,1708516810027,1,187206,58464,72695
1708516810067,1708516810067,1,187334,58458,72694
1708516810107,1708516810107,1,187187,58425,72620
1708516810147,1708516810147,1,186760,58402,72552
1708516810187,1708516810187,1,186361,58398,72530
1708516810227,1708516810227,1,186116,58395,72523
1708516810267,1708516810267,1,186013,58396,72534
1708516810307,1708516810307,1,186016,58405,72546
1708516810347,1708516810347,1,186038,58402,72552
1708516810387,1708516810387,1,186056,58397,72553
1708516810427,1708516810427,1,186051,58394,72552
1708516810467,1708516810467,1,186061,58402,72559
1708516810507,1708516810507,1,186124,58411,72568
1708516810547,1708516810547,1,186230,58408,72589
1708516810587,1708516810587,1,186371,58420,72616
1708516810627,1708516810627,1,186525,58439,72644
1708516810667,1708516810667,1,186685,58442,72659
1708516810707,1708516810707,1,186838,58441,72675
1708516810747,1708516810747,1,186993,58469,72715
1708516810787,1708516810787,1,187143,58495,72764
1708516810827,1708516810827,1,187272,58493,72776
1708516810867,1708516810867,1,187261,58470,72726
1708516810907,1708516810907,1,186908,58440,72652
1708516810947,1708516810947,1,186473,58425,72610
1708516810987,1708516810987,1,186173,58422,72609
1708516811027,1708516811027,1,186017,58424,72609
1708516811067,1708516811067,1,185984,58429,72624
1708516811107,1708516811107,1,186010,58432,72629
1708516811147,1708516811147,1,186036,58432,72634
1708516811187,1708516811187,1,186039,58428,72639
1708516811227,1708516811227,1,186056,58430,72639
1708516811267,1708516811267,1,186107,58434,72659
1708516811307,1708516811307,1,186215,58436,72670
1708516811347,1708516811347,1,186340,58438,72679
1708516811387,1708516811387,1,186487,58443,72698
1708516811427,1708516811427,1,186642,58448,72717
1708516811467,1708516811467,1,186807,58454,72734
1708516811507,1708516811507,1,186963,58462,72753
1708516811547,1708516811547,1,187123,58466,72771
1708516811587,1708516811587,1,187303,58467,72789
1708516811627,1708516811627,1,187475,58477,72804
1708516811667,1708516811667,1,187533,58455,72772
1708516811707,1708516811707,1,187234,58426,72693
1708516811747,1708516811747,1,186751,58408,72646
1708516811787,1708516811787,1,186360,58402,72620
1708516811827,1708516811827,1,186132,58399,72617
1708516811867,1708516811867,1,186024,58403,72632
1708516811907,1708516811907,1,186015,58407,72654
1708516811947,1708516811947,1,186023,58408,72649
1708516811997,1708516811997,1,186002,58403,72642
1708516812035,1708516812035,1,185968,58403,72642
1708516812073,1708516812073,1,185983,58402,72654
1708516812111,1708516812111,1,186053,58412,72669
1708516812149,1708516812149,1,186143,58416,72685
1708516812187,1708516812187,1,186270,58416,72707
1708516812225,1708516812225,1,186412,58431,72724
1708516812263,1708516812263,1,186546,58436,72735
1708516812301,1708516812301,1,186700,58434,72744
1708516812339,1708516812339,1,186832,58436,72761
1708516812377,1708516812377,1,186982,58433,72782
1708516812415,1708516812415,1,187142,58449,72797
1708516812453,1708516812453,1,187325,58460,72821
1708516812491,1708516812491,1,187356,58441,72786
1708516812529,1708516812529,1,187048,58408,72697
1708516812567,1708516812567,1,186546,58387,72650
1708516812605,1708516812605,1,186170,58372,72626
1708516812643,1708516812643,1,185948,58370,72614
1708516812681,1708516812681,1,185854,58377,72625
1708516812719,1708516812719,1,185858,58376,72638
1708516812757,1708516812757,1,185870,58376,72638
1708516812795,1708516812795,1,185858,58374,72636
1708516812833,1708516812833,1,185838,58372,72635
1708516812871,1708516812871,1,185863,58373,72638
1708516812909,1708516812909,1,185945,58379,72654
1708516812947,1708516812947,1,186038,58384,72670
1708516812987,1708516812987,1,186165,58388,72683
1708516813027,1708516813027,1,186309,58391,72698
1708516813067,1708516813067,1,186458,58402,72720
1708516813107,1708516813107,1,186608,58403,72739
1708516813147,1708516813147,1,186765,58409,72753
1708516813187,1708516813187,1,186937,58415,72772
1708516813227,1708516813227,1,187103,58423,72792
1708516813267,1708516813267,1,187254,58423,72789
1708516813307,1708516813307,1,187159,58397,72732
1708516813347,1708516813347,1,186749,58378,72675
1708516813387,1708516813387,1,186305,58367,72648
1708516813427,1708516813427,1,186032,58370,72643
1708516813467,1708516813467,1,185927,58371,72656
1708516813507,1708516813507,1,185928,58371,72662
1708516813547,1708516813547,1,185971,58375,72663
1708516813587,1708516813587,1,185991,58369,72661
1708516813627,1708516813627,1,185994,58364,72650
1708516813667,1708516813667,1,186005,58354,72645
1708516813707,1708516813707,1,186056,58361,72652
1708516813747,1708516813747,1,186165,58368,72672
1708516813787,1708516813787,1,186293,58375,72695
1708516813827,1708516813827,1,186430,58387,72724
1708516813867,1708516813867,1,186583,58387,72729
1708516813907,1708516813907,1,186742,58393,72737
1708516813947,1708516813947,1,186905,58395,72762
1708516813987,1708516813987,1,187073,58402,72775
1708516814027,1708516814027,1,187222,58396,72777
1708516814067,1708516814067,1,187134,58373,72711
1708516814107,1708516814107,1,186720,58345,72654
1708516814147,1708516814147,1,186271,58333,72610
1708516814187,1708516814187,1,185982,58335,72605
1708516814227,1708516814227,1,185837,58337,72605
1708516814267,1708516814267,1,185822,58340,72624
1708516814307,1708516814307,1,185855,58345,72633
1708516814347,1708516814347,1,185875,58345,72632
1708516814387,1708516814387,1,185861,58339,72626
1708516814427,1708516814427,1,185854,58338,72627
1708516814467,1708516814467,1,185902,58349,72648
1708516814507,1708516814507,1,185991,58353,72661
1708516814547,1708516814547,1,186117,58355,72671
1708516814587,1708516814587,1,186259,58360,72693
1708516814627,1708516814627,1,186405,58368,72707
1708516814667,1708516814667,1,186539,58373,72724
1708516814707,1708516814707,1,186698,58378,72739
1708516814747,1708516814747,1,186854,58385,72753
1708516814787,1708516814787,1,187018,58388,72768
1708516814827,1708516814827,1,187093,58374,72739
1708516814867,1708516814867,1,186830,58335,72656
1708516814907,1708516814907,1,186319,58309,72592
1708516814947,1708516814947,1,185881,58307,72568
1708516814987,1708516814987,1,185606,58299,72558
1708516815027,1708516815027,1,185457,58307,72569
1708516815067,1708516815067,1,185432,58317,72579
1708516815107,1708516815107,1,185425,58321,72592
1708516815147,1708516815147,1,185375,58313,72589
1708516815187,1708516815187,1,185336,58308,72583
1708516815227,1708516815227,1,185350,58316,72585
